city,province,gdp19,gdpStage19,peo,lon,lat,moneyDigit,giveOutMethod,methodDescribe,giveTimeDescribe,moneyDescribe,numDescribe,ruleDescribe,url
乐山,四川,0,5.0,,,,100000000.0,摇号,四川电信好码齐,2020年6月24日-2020年7月30日,满100减50元、满50减20元,0,活动期间，乐山电信用户关注“乐山电信”微信公众号、电信电视 ITV 平台即可进行抽奖；每个用户每日最多可参与3次抽奖。,http://leshan.bendibao.com/
达州,四川,0,5.0,,,,100000000.0,抢券,升华广场小程序,2020年6月29日-8月20日,分别有¥50元、¥30元、¥20元、¥10元面额的消费券,每个顾客ID每天限抢购1张,达川市民参与抢券并开展消费活动（每个顾客ID每天限抢购1张），消费券在抢券到账后即可开展消费，原则上每周所抢券当周日24:00前消费清零，在报名参加的所有企业均可进行消费。,http://dazhou.bendibao.com/
内江,四川,0,5.0,,,,100000000.0,摇号,四川电信好码齐,2020年7月18日至10月17日,20、40、60元,0,内江电信、移动、联通用户均可进入领取入口领取消费券，以抽奖的方式获取。,http://neijiang.bendibao.com/
遂宁,四川,0,5.0,,,,3000000.0,摇号,扫描遂宁居民健康码,3月31日-5月10日,总价值300万元，30元、60元、90元、120元面值,平均每天投放1000张，共计4万张,1、遂宁市河东新区市民可通过扫描遂宁“居民健康码”（小区码、单位码、公共区域码），参与市河东新区餐饮电子优惠券抽奖活动，抽中后凭优惠券消费可直接抵扣现金。,http://suining.bendibao.com/
攀枝花,四川,0,5.0,,,,100000000.0,领取,攀枝花优选小程序,4月18日至5月31日,共1亿元消费券，消费券面额50元一张,每天发送6万张,"消费券通过""攀枝花优选""商城平台以电子券的形式进行发放，市民按照“公平公开、先领先得”的原则申领消费券。",http://pzh.bendibao.com/
眉山,四川,0,5.0,,,,8000000.0,摇号,四川电信好码齐,4月24日—6月30日 ,共800万元，50元、100元、200元、500元、1000元五个额度,0,眉山市移动、电信、联通手机用户进入抽奖页面输入手机号领取消费券，消费者需要下载专门APP(电信为“翼支付APP”，移动为“和包支付APP”)，并绑定银行卡，在消费结账时，扫描商家专用二维码，系统会自动抵扣消费券的金额，完成结账。,http://ms.bendibao.com/
广安,四川,0,5.0,,,,100000000.0,摇号,四川电信好码齐,6月25日-8月1日,30、50、100元,共3000万,本次活动限广安市手机用户参与，首次进入活动首页绑定手机号码后，即可开始抽奖，活动期间每人可参加抽奖2次。,http://ga.bendibao.com/
资阳,四川,0,5.0,,,,500000.0,摇号,翼支付APP,4月16日-4月26日,共50万，每张面值为50元,1万张,资阳市电信、移动、联通手机用户进入抽奖页面，绑定手机号进行抽奖，4月16日上午8：00开始，到4月26日23:59结束，将派发1万张餐饮惠民消费券，发完即止。,http://zy.bendibao.com/
凉山,四川,0,5.0,,,,100000000.0,摇号,四川电信好码齐,即日起至8月31日,50元,0,凉山电信、移动、联通用户均可在7月10日-8月31日活动时间进入活动入口，扫码参与。以抽奖的方式获取满70元减50元消费券，该券仅限在西昌市使用。,http://liangshan.bendibao.com/
雅安,四川,0,5.0,,,,100000000.0,摇号,四川电信好码齐,即日起至8月31日,5元、25元、50元、100元,0,雅安市电信、移动、联通手机用户，活动期间，通过进入抽奖页面进行抽奖。,http://ya.bendibao.com/
巴中,四川,0,5.0,,,,100000000.0,摇号,四川电信好码齐,即日起至7月31日,50元面额、100元面额,0,巴中电信、联通、移动手机号注册翼支付并绑定银卡实名的用户皆可参与；以抽奖方式获取翼支付消费券。,http://bazhong.bendibao.com/
阿坝,四川,0,5.0,,,,5050000.0,领取,移动和包支付,即日起到7月30日,发放505万元消费券,17.8万张,1、消费者下载云闪付，绑定银行卡和身份信息，即可领取优惠券；,http://ab.bendibao.com/
昆明,云南,5350,4.0,726,102.83944512326053,24.886272111644136,40000000.0,摇号,摇号中签者即可获取,2020年4月28日、29日、30日,餐饮消费券总额4000万元，面值50元/张；旅游消费券总额4500万元，面值100元/张；体育消费券总额500万元，面值50元/张,餐饮消费券80万张；旅游消费券45万张；体育消费券10万张,2020年4月25日00:00—4月30日12:00，通过办事通APP、小程序“春城花都 好享昆明”预约入口，进入昆明市消费券申请专区进行预约，成功后等待摇号。每人对每个消费券种只可参与一次预约，一旦预约成功，信息不得更改。,http://km.bendibao.com/
贵阳,贵州,3800,4.0,486,106.63657676352776,26.653324822309752,50000000.0,领取,多彩宝APP申领,2020年4月18日至7月底,共5000万元多彩贵州消费券，每人金额不等。,0,在“多彩宝”APP内的“多彩贵州消费券”专栏内进行实名认证，认证成功后即可领取餐饮消费券、购物消费券、汽车加油券等多彩贵州优惠券。,http://gy.bendibao.com/
锡林郭勒,内蒙古,0,5.0,,,,10000000.0,抢券,支付宝申领,4月11日—5月12日,总额度1000万元,10万个劵包,锡林浩特市辖区内所有已注册登记的餐饮服务经营单位，凡持有有效身份证件的消费者均可自愿参加。此次消费券发放分三批次进行。每位消费者每批次只可申领一个券包（含2张消费券），抢完为止，到期券包内未使用消费券自动作废。,http://xl.bendibao.com/
